time,month.yr,location,cases,disease,lat,lon
1937.666667,Aug-37,ALABAMA,16,measles,32.361538,-86.279118
1937.75,Sep-37,ALABAMA,7,measles,32.361538,-86.279118
1937.833333,Oct-37,ALABAMA,10,measles,32.361538,-86.279118
1937.916667,Nov-37,ALABAMA,25,measles,32.361538,-86.279118
1938,Dec-37,ALABAMA,71,measles,32.361538,-86.279118
1938.083333,Jan-38,ALABAMA,641,measles,32.361538,-86.279118
1938.166667,Feb-38,ALABAMA,2991,measles,32.361538,-86.279118
1938.25,Mar-38,ALABAMA,4662,measles,32.361538,-86.279118
1938.333333,Apr-38,ALABAMA,3125,measles,32.361538,-86.279118
1938.416667,May-38,ALABAMA,1363,measles,32.361538,-86.279118
1938.5,Jun-38,ALABAMA,323,measles,32.361538,-86.279118
1938.583333,Jul-38,ALABAMA,119,measles,32.361538,-86.279118
1938.666667,Aug-38,ALABAMA,19,measles,32.361538,-86.279118
1938.75,Sep-38,ALABAMA,64,measles,32.361538,-86.279118
1938.833333,Oct-38,ALABAMA,29,measles,32.361538,-86.279118
1938.916667,Nov-38,ALABAMA,44,measles,32.361538,-86.279118
1939,Dec-38,ALABAMA,137,measles,32.361538,-86.279118
1939.083333,Jan-39,ALABAMA,350,measles,32.361538,-86.279118
1939.166667,Feb-39,ALABAMA,955,measles,32.361538,-86.279118
1939.25,Mar-39,ALABAMA,1084,measles,32.361538,-86.279118
1939.333333,Apr-39,ALABAMA,663,measles,32.361538,-86.279118
1939.416667,May-39,ALABAMA,801,measles,32.361538,-86.279118
1939.5,Jun-39,ALABAMA,326,measles,32.361538,-86.279118
1939.583333,Jul-39,ALABAMA,105,measles,32.361538,-86.279118
1939.666667,Aug-39,ALABAMA,24,measles,32.361538,-86.279118
1939.75,Sep-39,ALABAMA,8,measles,32.361538,-86.279118
1939.833333,Oct-39,ALABAMA,12,measles,32.361538,-86.279118
1939.916667,Nov-39,ALABAMA,24,measles,32.361538,-86.279118
1940,Dec-39,ALABAMA,35,measles,32.361538,-86.279118
1940.083333,Jan-40,ALABAMA,175,measles,32.361538,-86.279118
1940.166667,Feb-40,ALABAMA,416,measles,32.361538,-86.279118
1940.25,Mar-40,ALABAMA,676,measles,32.361538,-86.279118
1940.333333,Apr-40,ALABAMA,490,measles,32.361538,-86.279118
1940.416667,May-40,ALABAMA,432,measles,32.361538,-86.279118
1940.5,Jun-40,ALABAMA,242,measles,32.361538,-86.279118
1940.583333,Jul-40,ALABAMA,326,measles,32.361538,-86.279118
1940.666667,Aug-40,ALABAMA,92,measles,32.361538,-86.279118
1940.75,Sep-40,ALABAMA,28,measles,32.361538,-86.279118
1940.833333,Oct-40,ALABAMA,15,measles,32.361538,-86.279118
1940.916667,Nov-40,ALABAMA,77,measles,32.361538,-86.279118
1941,Dec-40,ALABAMA,83,measles,32.361538,-86.279118
1941.083333,Jan-41,ALABAMA,288,measles,32.361538,-86.279118
1941.166667,Feb-41,ALABAMA,707,measles,32.361538,-86.279118
1941.25,Mar-41,ALABAMA,1914,measles,32.361538,-86.279118
1941.333333,Apr-41,ALABAMA,2473,measles,32.361538,-86.279118
1941.416667,May-41,ALABAMA,1984,measles,32.361538,-86.279118
1941.5,Jun-41,ALABAMA,706,measles,32.361538,-86.279118
1941.583333,Jul-41,ALABAMA,229,measles,32.361538,-86.279118
1941.666667,Aug-41,ALABAMA,38,measles,32.361538,-86.279118
1941.75,Sep-41,ALABAMA,32,measles,32.361538,-86.279118
1941.833333,Oct-41,ALABAMA,43,measles,32.361538,-86.279118
1941.916667,Nov-41,ALABAMA,80,measles,32.361538,-86.279118
1942,Dec-41,ALABAMA,166,measles,32.361538,-86.279118
1942.083333,Jan-42,ALABAMA,210,measles,32.361538,-86.279118
1942.166667,Feb-42,ALABAMA,543,measles,32.361538,-86.279118
1942.25,Mar-42,ALABAMA,1052,measles,32.361538,-86.279118
1942.333333,Apr-42,ALABAMA,827,measles,32.361538,-86.279118
1942.416667,May-42,ALABAMA,655,measles,32.361538,-86.279118
1942.5,Jun-42,ALABAMA,172,measles,32.361538,-86.279118
1942.583333,Jul-42,ALABAMA,50,measles,32.361538,-86.279118
1942.666667,Aug-42,ALABAMA,28,measles,32.361538,-86.279118
1942.75,Sep-42,ALABAMA,32,measles,32.361538,-86.279118
1942.833333,Oct-42,ALABAMA,7,measles,32.361538,-86.279118
1942.916667,Nov-42,ALABAMA,11,measles,32.361538,-86.279118
1943,Dec-42,ALABAMA,10,measles,32.361538,-86.279118
1943.083333,Jan-43,ALABAMA,36,measles,32.361538,-86.279118
1943.166667,Feb-43,ALABAMA,128,measles,32.361538,-86.279118
1943.25,Mar-43,ALABAMA,902,measles,32.361538,-86.279118
1943.333333,Apr-43,ALABAMA,933,measles,32.361538,-86.279118
1943.416667,May-43,ALABAMA,582,measles,32.361538,-86.279118
1943.5,Jun-43,ALABAMA,421,measles,32.361538,-86.279118
1943.583333,Jul-43,ALABAMA,147,measles,32.361538,-86.279118
1943.666667,Aug-43,ALABAMA,55,measles,32.361538,-86.279118
1943.75,Sep-43,ALABAMA,37,measles,32.361538,-86.279118
1943.833333,Oct-43,ALABAMA,42,measles,32.361538,-86.279118
1943.916667,Nov-43,ALABAMA,146,measles,32.361538,-86.279118
