time,month_yr,location,cases,disease,lat,lon
1946.5,Jun-46,ALABAMA,82,polio,32.361538,-86.279118
1946.583333,Jul-46,ALABAMA,85,polio,32.361538,-86.279118
1946.666667,Aug-46,ALABAMA,91,polio,32.361538,-86.279118
1946.75,Sep-46,ALABAMA,59,polio,32.361538,-86.279118
1946.833333,Oct-46,ALABAMA,20,polio,32.361538,-86.279118
1946.916667,Nov-46,ALABAMA,8,polio,32.361538,-86.279118
1947,Dec-46,ALABAMA,7,polio,32.361538,-86.279118
1947.083333,Jan-47,ALABAMA,2,polio,32.361538,-86.279118
1947.166667,Feb-47,ALABAMA,7,polio,32.361538,-86.279118
1947.25,Mar-47,ALABAMA,5,polio,32.361538,-86.279118
1947.333333,Apr-47,ALABAMA,2,polio,32.361538,-86.279118
1947.416667,May-47,ALABAMA,2,polio,32.361538,-86.279118
1947.5,Jun-47,ALABAMA,4,polio,32.361538,-86.279118
1947.583333,Jul-47,ALABAMA,2,polio,32.361538,-86.279118
1947.666667,Aug-47,ALABAMA,9,polio,32.361538,-86.279118
1947.75,Sep-47,ALABAMA,8,polio,32.361538,-86.279118
1947.833333,Oct-47,ALABAMA,8,polio,32.361538,-86.279118
1947.916667,Nov-47,ALABAMA,2,polio,32.361538,-86.279118
1948,Dec-47,ALABAMA,1,polio,32.361538,-86.279118
1948.083333,Jan-48,ALABAMA,3,polio,32.361538,-86.279118
1948.166667,Feb-48,ALABAMA,5,polio,32.361538,-86.279118
1948.25,Mar-48,ALABAMA,3,polio,32.361538,-86.279118
1948.333333,Apr-48,ALABAMA,3,polio,32.361538,-86.279118
1948.416667,May-48,ALABAMA,4,polio,32.361538,-86.279118
1948.5,Jun-48,ALABAMA,7,polio,32.361538,-86.279118
1948.583333,Jul-48,ALABAMA,26,polio,32.361538,-86.279118
1948.666667,Aug-48,ALABAMA,58,polio,32.361538,-86.279118
1948.75,Sep-48,ALABAMA,51,polio,32.361538,-86.279118
1948.833333,Oct-48,ALABAMA,28,polio,32.361538,-86.279118
1948.916667,Nov-48,ALABAMA,6,polio,32.361538,-86.279118
1949,Dec-48,ALABAMA,11,polio,32.361538,-86.279118
1949.083333,Jan-49,ALABAMA,8,polio,32.361538,-86.279118
1949.166667,Feb-49,ALABAMA,3,polio,32.361538,-86.279118
1949.25,Mar-49,ALABAMA,2,polio,32.361538,-86.279118
1949.333333,Apr-49,ALABAMA,3,polio,32.361538,-86.279118
1949.416667,May-49,ALABAMA,13,polio,32.361538,-86.279118
1949.5,Jun-49,ALABAMA,30,polio,32.361538,-86.279118
1949.583333,Jul-49,ALABAMA,54,polio,32.361538,-86.279118
1949.666667,Aug-49,ALABAMA,43,polio,32.361538,-86.279118
1949.75,Sep-49,ALABAMA,50,polio,32.361538,-86.279118
1949.833333,Oct-49,ALABAMA,27,polio,32.361538,-86.279118
1949.916667,Nov-49,ALABAMA,14,polio,32.361538,-86.279118
1950,Dec-49,ALABAMA,9,polio,32.361538,-86.279118
1950.083333,Jan-50,ALABAMA,5,polio,32.361538,-86.279118
1950.166667,Feb-50,ALABAMA,8,polio,32.361538,-86.279118
1950.25,Mar-50,ALABAMA,4,polio,32.361538,-86.279118
1950.333333,Apr-50,ALABAMA,2,polio,32.361538,-86.279118
1950.416667,May-50,ALABAMA,7,polio,32.361538,-86.279118
1950.5,Jun-50,ALABAMA,13,polio,32.361538,-86.279118
1950.583333,Jul-50,ALABAMA,71,polio,32.361538,-86.279118
1950.666667,Aug-50,ALABAMA,75,polio,32.361538,-86.279118
1950.75,Sep-50,ALABAMA,37,polio,32.361538,-86.279118
1950.833333,Oct-50,ALABAMA,28,polio,32.361538,-86.279118
1950.916667,Nov-50,ALABAMA,18,polio,32.361538,-86.279118
1951,Dec-50,ALABAMA,10,polio,32.361538,-86.279118
1951.083333,Jan-51,ALABAMA,9,polio,32.361538,-86.279118
1951.166667,Feb-51,ALABAMA,7,polio,32.361538,-86.279118
1951.25,Mar-51,ALABAMA,8,polio,32.361538,-86.279118
1951.333333,Apr-51,ALABAMA,9,polio,32.361538,-86.279118
